[NeV] 4 long 24.1 24.5 24.2 24.4 24.316 0.03 0.1 0.0125 0.02
[NeV]_14 3 medium 14.28 14.36 14.23 14.40 14.3217 0.03 0.1 0.0125 0.02
[H_2_S_1] 3 long 16.99 17.06 16.98 17.07 17.03 0.03 0.1 0.0125 0.02
[H_2_S_3] 2 medium 9.63 9.71 9.57 9.8 9.6654 0.03 0.1 0.0125 0.02
[OIV] 4 long 25.62 26.08 25.8 26.0 25.88 0.03 0.1 0.0125 0.02
[MgV] 1 medium 5.54 5.656 5.57 5.7 5.609 0.03 0.1 0.0125 0.02
[NeIII] 3 long 15.5251 15.6051 15.38 15.67 15.5551 0.03 0.1 0.0125 0.02
[SIV] 2 long 10.3 10.63 10.00 10.87 10.509 0.03 0.1 0.0125 0.02
[NeII] 3 short 12.77 12.84 12.73 12.89 12.813550 0.03 0.1 0.0125 0.02
[FeII] 1 short 5.29 5.37 5.25 5.43 5.3396 0.01 0.5 0.0125 0.02
